
table,field,data_count,data_ratio,example_id,example_value,doc_defined,current_write,current_read,data_required,doc_required,requirement_match,doc_meaning
events,attachments,55,0.7333333333333333,6e453f06-9212-49ef-9015-36fd5dfe19c6,"[{'fileUrl': 'voice-tests/656501ca-8a61-4ca8-8766-c61e0eab8e6a/report.pdf', 'fileType': 'application/pdf', 'fileName': 'voice_test_report.pdf'}]",True,Yes,Yes,No,No,Yes,附件数组，包含与事件相关的文件
events,attachments.fileName,57,0.76,6e453f06-9212-49ef-9015-36fd5dfe19c6,voice_test_report.pdf,True,Yes,Yes,No,No,Yes,附件的原始文件名
events,attachments.fileType,57,0.76,6e453f06-9212-49ef-9015-36fd5dfe19c6,application/pdf,True,Yes,Yes,No,No,Yes,附件的 MIME 类型
events,attachments.fileUrl,57,0.76,6e453f06-9212-49ef-9015-36fd5dfe19c6,voice-tests/656501ca-8a61-4ca8-8766-c61e0eab8e6a/report.pdf,True,Yes,Yes,No,No,Yes,附件的存储地址URL
events,createdAt,75,1.0,6e453f06-9212-49ef-9015-36fd5dfe19c6,2025-08-30T18:00:21.036949Z,True,Yes,Yes,Yes,Yes,Yes,创建时间的ISO字符串或时间戳
events,date,75,1.0,6e453f06-9212-49ef-9015-36fd5dfe19c6,2025-08-30T18:00:21.036949Z,True,Yes,Yes,Yes,Yes,Yes,事件发生的日期
events,details,75,1.0,6e453f06-9212-49ef-9015-36fd5dfe19c6,"{'formants': {'f2': 2072.972442, 'f3': 3204.985286, 'f1': 622.576208}, 'notes': 'VFS Tracker Voice Analysis Tools 自动生成报告', 'appUsed': 'VFS Tracker Online Analysis', 'jitter': 0.64, 'full_metrics': {'q",True,Yes,Yes,Yes,Yes,Yes,事件详细信息，包括测量数据和自定义字段
events,details.appUsed,70,0.9333333333333332,6e453f06-9212-49ef-9015-36fd5dfe19c6,VFS Tracker Online Analysis,True,Yes,Yes,No,No,Yes,使用的测音应用或练习应用
events,details.content,0,0.0,,,True,No,No,No,No,Yes,
events,details.customDoctor,0,0.0,,,True,No,No,No,No,Yes,自定义医生信息
events,details.customLocation,0,0.0,,,True,No,No,No,No,Yes,自定义地点信息
events,details.customSoundDetail,14,0.1866666666666666,event_mg5krxyc_x4i9lnkng,通过快速基频测试自动记录,True,Yes,Yes,No,No,Yes,
events,details.customVoicingDetail,14,0.1866666666666666,event_mg5krxyc_x4i9lnkng,通过快速基频测试自动记录,True,Yes,Yes,No,No,Yes,
events,details.doctor,3,0.04,event_mga2yfmz_lkqlwwxt6,李革临,True,Yes,Yes,No,No,Yes,医生姓名或机构
events,details.equipmentUsed,0,0.0,,,True,No,No,No,No,Yes,使用的设备
events,details.feelings,0,0.0,,,True,No,No,No,No,Yes,用户记录的感受或参考信息
events,details.formants,52,0.6933333333333334,6e453f06-9212-49ef-9015-36fd5dfe19c6,"{'f2': 2072.972442, 'f3': 3204.985286, 'f1': 622.576208}",True,Yes,Yes,No,No,Yes,共振峰数据
events,details.formants.f1,52,0.6933333333333334,6e453f06-9212-49ef-9015-36fd5dfe19c6,622.576208,True,Yes,Yes,No,No,Yes,
events,details.formants.f2,52,0.6933333333333334,6e453f06-9212-49ef-9015-36fd5dfe19c6,2072.972442,True,Yes,Yes,No,No,Yes,
events,details.formants.f3,52,0.6933333333333334,6e453f06-9212-49ef-9015-36fd5dfe19c6,3204.985286,True,Yes,Yes,No,No,Yes,
events,details.full_metrics,53,0.7066666666666667,6e453f06-9212-49ef-9015-36fd5dfe19c6,"{'questionnaires': {'RBH': {'H': 2, 'R': 2, 'B': 1}, 'TVQ-G Total': 17, 'TVQ-G Percent': '35%', 'OVHS-9 Total': 17}, 'reading': {'f0_mean': 205.86, 'f0_stats': {'median': 210.93, 'p10': 111.23, 'p90':",True,Yes,Yes,No,No,Yes,
events,details.full_metrics.formants_high,19,0.2533333333333333,bc56487c-35fa-49f8-9e76-22cf174cf2ff,"{'reason': 'LOW_PROMINENCE', 'f0_mean': 185.29, 'F1': 310.95, 'F2': 889.62, 'F3': 2050.98, 'spl_dbA_est': 54.56665, 'F1_available': False, 'source_file': 'voice-tests_596c7b65-c840-4044-8a51-68016b6da",True,Yes,Yes,No,No,Yes,共振峰数据
events,details.full_metrics.formants_high.B1,19,0.2533333333333333,bc56487c-35fa-49f8-9e76-22cf174cf2ff,406.55,True,Yes,Yes,No,No,Yes,
events,details.full_metrics.formants_high.B2,19,0.2533333333333333,bc56487c-35fa-49f8-9e76-22cf174cf2ff,306.05,True,Yes,Yes,No,No,Yes,
events,details.full_metrics.formants_high.B3,19,0.2533333333333333,bc56487c-35fa-49f8-9e76-22cf174cf2ff,111.29,True,Yes,Yes,No,No,Yes,
events,details.full_metrics.formants_high.F1,19,0.2533333333333333,bc56487c-35fa-49f8-9e76-22cf174cf2ff,310.95,True,Yes,Yes,No,No,Yes,
events,details.full_metrics.formants_high.F1_available,19,0.2533333333333333,bc56487c-35fa-49f8-9e76-22cf174cf2ff,False,True,Yes,Yes,No,No,Yes,
events,details.full_metrics.formants_high.F2,19,0.2533333333333333,bc56487c-35fa-49f8-9e76-22cf174cf2ff,889.62,True,Yes,Yes,No,No,Yes,
events,details.full_metrics.formants_high.F2_available,19,0.2533333333333333,bc56487c-35fa-49f8-9e76-22cf174cf2ff,False,True,Yes,Yes,No,No,Yes,
events,details.full_metrics.formants_high.F3,19,0.2533333333333333,bc56487c-35fa-49f8-9e76-22cf174cf2ff,2050.98,True,Yes,Yes,No,No,Yes,
events,details.full_metrics.formants_high.best_segment_time,19,0.2533333333333333,bc56487c-35fa-49f8-9e76-22cf174cf2ff,2.154333,True,Yes,Yes,No,No,Yes,
events,details.full_metrics.formants_high.f0_mean,19,0.2533333333333333,bc56487c-35fa-49f8-9e76-22cf174cf2ff,185.29,True,Yes,Yes,No,No,Yes,基频均值
events,details.full_metrics.formants_high.is_high_pitch,19,0.2533333333333333,bc56487c-35fa-49f8-9e76-22cf174cf2ff,False,True,Yes,Yes,No,No,Yes,音高
events,details.full_metrics.formants_high.reason,19,0.2533333333333333,bc56487c-35fa-49f8-9e76-22cf174cf2ff,LOW_PROMINENCE,True,Yes,Yes,No,No,Yes,
events,details.full_metrics.formants_high.source_file,19,0.2533333333333333,bc56487c-35fa-49f8-9e76-22cf174cf2ff,voice-tests_596c7b65-c840-4044-8a51-68016b6dabed_raw_4_4_1.wav,True,Yes,Yes,No,No,Yes,
events,details.full_metrics.formants_high.spl_dbA_est,19,0.2533333333333333,bc56487c-35fa-49f8-9e76-22cf174cf2ff,54.56665,True,Yes,Yes,No,No,Yes,
events,details.full_metrics.formants_low,19,0.2533333333333333,bc56487c-35fa-49f8-9e76-22cf174cf2ff,"{'reason': 'LOW_PROMINENCE', 'f0_mean': 358.75, 'F1': 858.13, 'F2': 1322.3, 'F3': 2864.81, 'spl_dbA_est': 80.352821, 'F1_available': False, 'source_file': 'voice-tests_596c7b65-c840-4044-8a51-68016b6d",True,Yes,Yes,No,No,Yes,共振峰数据
events,details.full_metrics.formants_low.B1,19,0.2533333333333333,bc56487c-35fa-49f8-9e76-22cf174cf2ff,119.25,True,Yes,Yes,No,No,Yes,
events,details.full_metrics.formants_low.B2,19,0.2533333333333333,bc56487c-35fa-49f8-9e76-22cf174cf2ff,97.68,True,Yes,Yes,No,No,Yes,
events,details.full_metrics.formants_low.B3,19,0.2533333333333333,bc56487c-35fa-49f8-9e76-22cf174cf2ff,53.43,True,Yes,Yes,No,No,Yes,
events,details.full_metrics.formants_low.F1,19,0.2533333333333333,bc56487c-35fa-49f8-9e76-22cf174cf2ff,858.13,True,Yes,Yes,No,No,Yes,
events,details.full_metrics.formants_low.F1_available,19,0.2533333333333333,bc56487c-35fa-49f8-9e76-22cf174cf2ff,False,True,Yes,Yes,No,No,Yes,
events,details.full_metrics.formants_low.F2,19,0.2533333333333333,bc56487c-35fa-49f8-9e76-22cf174cf2ff,1322.3,True,Yes,Yes,No,No,Yes,
events,details.full_metrics.formants_low.F2_available,19,0.2533333333333333,bc56487c-35fa-49f8-9e76-22cf174cf2ff,False,True,Yes,Yes,No,No,Yes,
events,details.full_metrics.formants_low.F3,19,0.2533333333333333,bc56487c-35fa-49f8-9e76-22cf174cf2ff,2864.81,True,Yes,Yes,No,No,Yes,
